"regio_inv","TechGroup","TimePeriod","regio_tech","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","N_patents_state","N_patents_TechGroup","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia","onshored_patents_exclsubsidiaries","onshored_patents_notaxhavens","onshored_patents_twoinv","onshored_patents_worldclass","onshored_patents_excldejp","N_inv_nonwestern_classification","imputed_N_inv_nonwestern_classification","N_offshoring_firms"
"Alabama","Chemistry & Materials",2012,"AL04",13,NA,NA,NA,NA,"AL",4,366,26136,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,10,9,6,3,4,5,NA,3
"Alabama","Chemistry & Materials",2015,"AL04",10,NA,NA,NA,NA,"AL",4,330,26540,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,4,9,8,5,1,3,NA,5
"Alabama","Computer Science",2000,"AL05",1,NA,NA,NA,NA,"AL",5,376,36128,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,1
"Alabama","Computer Science",2003,"AL05",1,NA,NA,NA,NA,"AL",5,433,42852,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,6,NA,1
"Alabama","Computer Science",2009,"AL05",3,NA,NA,NA,NA,"AL",5,386,58985,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,4,NA,2
"Alabama","Computer Science",2012,"AL05",2,NA,NA,NA,NA,"AL",5,366,63598,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,2,NA,3
"Alabama","Computer Science",2015,"AL05",4,NA,NA,NA,NA,"AL",5,330,66958,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,3,3,NA,1
"Alabama","Consumer Goods & Civil Engineering",2000,"AL010",1,NA,NA,NA,NA,"AL",10,376,24875,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,NA,0
"Alabama","Consumer Goods & Civil Engineering",2006,"AL010",4,NA,NA,NA,NA,"AL",10,410,21321,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,2,1,NA,2
"Alabama","Consumer Goods & Civil Engineering",2009,"AL010",3,NA,NA,NA,NA,"AL",10,386,20287,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,3,2,0,2,NA,NA,5
"Alabama","Consumer Goods & Civil Engineering",2012,"AL010",4,NA,NA,NA,NA,"AL",10,366,23529,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,4,2,0,1,NA,NA,2
"Alabama","Consumer Goods & Civil Engineering",2015,"AL010",1,NA,NA,NA,NA,"AL",10,330,28008,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,1
"Alabama","Electrical Machinery",1991,"AL011",3,NA,NA,NA,NA,"AL",11,200,9709,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0,3,2,1,3,2,NA,1
"Alabama","Electrical Machinery",2000,"AL011",4,NA,NA,NA,NA,"AL",11,376,17006,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,3,2,NA,1
"Alabama","Electrical Machinery",2003,"AL011",1,8.75439514032819,29.4161645796629,0.0534224053422484,3.14403599882625,"AL",11,433,17749,0.000109039363210119,0.511726632925797,41,59.6474756208868,0.857918340380873,1.86106280319666,3.12010321279207,39.4495002034241,66.1377531786275,7,70.5838354203371,3.58930200753456,12.0606274776618,28.9393725223382,0.0219031861903218,1.28905475951876,1.31095794570908,0,1,0,0,0,3,0.668449197860963,0
"Alabama","Electrical Machinery",2006,"AL011",4,NA,NA,NA,NA,"AL",11,410,18121,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,1,3,0,3,NA,NA,2
"Alabama","Electrical Machinery",2009,"AL011",16,13.1529322875828,36.612938945852,4.22224136249796,2.66241758083929,"AL",11,386,18580,0.000109039363210119,0.607188327156008,41,55.7230628812989,1.089653539773,2.09667177668074,3.76266426909638,34.9796465970998,62.7740917106679,9,63.387061054148,5.39270223790894,15.0113049677993,25.9886950322007,1.73111895862417,1.09159120814411,2.82271016676827,16,3,11,3,16,6,0.719251336898396,5
"Alabama","Electrical Machinery",2012,"AL011",4,NA,NA,NA,NA,"AL",11,366,20432,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,4,1,NA,1
"Alabama","Electrical Machinery",2015,"AL011",6,NA,NA,NA,NA,"AL",11,330,22857,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,5,1,4,0,5,1,NA,2
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",1980,"AL03",1,NA,NA,NA,NA,"AL",3,132,18104,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,0
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",2003,"AL03",1,NA,NA,NA,NA,"AL",3,433,13670,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",2006,"AL03",2,NA,NA,NA,NA,"AL",3,410,12896,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,NA,NA,1
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",2009,"AL03",2,NA,NA,NA,NA,"AL",3,386,13280,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,2,NA,NA,1
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",2012,"AL03",1,NA,NA,NA,NA,"AL",3,366,16696,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,1
"Alabama","Engines, Turbines, Thermal & Environmental Technologies",2015,"AL03",2,NA,NA,NA,NA,"AL",3,330,19675,0.000261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,1,1,NA,2
"Alabama","Information & Communication Technology",1988,"AL02",1,NA,NA,NA,NA,"AL",2,142,7883,0.000130847235852143,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,3
"Alabama","Information & Communication Technology",1991,"AL02",1,1.70469772848661,23.6286910939887,0.0485999539217764,0.612222091219718,"AL",2,200,8856,0.000130847235852143,0.0720635741606625,31,15.8055915838017,0.455937215501105,0.390667080963652,2.47170173221498,11.1669089114897,70.6516352284722,3,76.3713089060114,0.52845629583085,7.32489423913648,23.6751057608635,0.0150659857157507,0.189788848278113,0.204854833993863,1,1,1,0,0,NA,0.205882352941176,2
"Alabama","Information & Communication Technology",1997,"AL02",5,1.77421797471311,20.6195985778814,0.0323227920615421,1.04794593617412,"AL",2,363,25635,0.000130847235852143,0.23362544683823,37,33.7365854830187,0.692498791722196,0.942670918839337,2.79420962537489,23.5233525198034,69.7265362899392,5,79.3804014221186,0.656460650643851,7.62925147381611,29.3707485261839,0.0119594330627706,0.387739996384425,0.399699429447196,5,5,0,1,5,NA,0.406417112299465,0
"Alabama","Information & Communication Technology",2000,"AL02",0,2.25715756167918,24.1318506676973,0.16853844854049,0.659721837658294,"AL",2,376,41039,0.000130847235852143,0.466851440674106,39,47.7611567468896,0.977470966936975,1.74490325514882,3.65339404235107,30.9859520495701,64.8768877474644,6,75.8681493323027,0.88029144905488,9.41142176040194,29.5885782395981,0.0657299949307912,0.257291516686735,0.323021511617526,0,0,0,0,0,1,0.689839572192513,0
"Alabama","Information & Communication Technology",2003,"AL02",0,8.06555918506097,24.5745773772135,0.0946794063732558,6.66421374407068,"AL",2,433,44860,0.000130847235852143,0.52693314674863,44,47.5684056300139,1.10773766698658,1.82805190498312,3.84299595660546,30.2183135427341,63.5260172009369,7,75.4254226227865,3.54884604142683,10.8128140459739,33.1871859540261,0.0416589388042325,2.9322540473911,2.97391298619533,0,0,0,0,0,3,0.668449197860963,0
"Alabama","Information & Communication Technology",2006,"AL02",3,9.01165827545367,30.1494432501036,4.2313361443784,4.38946364840889,"AL",2,410,46620,0.000130847235852143,0.704382581496839,39,43.8624441562185,1.60588994764665,2.11624443445872,4.82472984615632,25.8772814498526,58.9964420534552,8,69.8505567498964,3.51454672742693,11.7582828675404,27.2417171324596,1.65022109630758,1.71189082287947,3.36211191918704,2,3,1,1,0,4,0.764705882352941,1
"Alabama","Information & Communication Technology",2012,"AL02",1,3.51528048489538,17.3238310090937,2.91817125886915,0.111104947661111,"AL",2,366,53467,0.000130847235852143,0.830591973410742,32,43.8547341115435,1.89396194102591,2.22113926582668,5.0647650950916,24.9806903340325,56.9623572919055,10,82.6761689909063,1.12488975516652,5.54362592291,26.45637407709,0.933814802838128,0.0355535832515557,0.969368386089684,1,0,1,0,1,1,0.719251336898396,1
"Alabama","Information & Communication Technology",2015,"AL02",1,NA,NA,NA,NA,"AL",2,330,70288,0.000130847235852143,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,2,NA,1
"Alabama","Instruments",1997,"AL08",4,NA,NA,NA,NA,"AL",8,363,29612,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,3,NA,NA,2
"Alabama","Instruments",2000,"AL08",1,NA,NA,NA,NA,"AL",8,376,34589,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,6,NA,0
"Alabama","Instruments",2003,"AL08",1,NA,NA,NA,NA,"AL",8,433,37380,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,5,NA,1
"Alabama","Instruments",2006,"AL08",1,NA,NA,NA,NA,"AL",8,410,35264,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,4,NA,1
"Alabama","Instruments",2009,"AL08",2,NA,NA,NA,NA,"AL",8,386,31712,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1
"Alabama","Instruments",2012,"AL08",2,NA,NA,NA,NA,"AL",8,366,30866,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,5,NA,1
"Alabama","Instruments",2015,"AL08",2,NA,NA,NA,NA,"AL",8,330,36870,6.54236179260713e-05,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,1,3,NA,1
"Alabama","Machines & Mechanical Engineering",1980,"AL09",3,3.60826096088576,27.0986504531417,0.0889682564339485,0.35637499212271,"AL",9,132,52204,0.00080689128775488,0.0376372967310545,36,15.0268770716242,0.250466524425933,0.197342390031951,1.31326282294942,12.0072304537692,79.9050288129587,1,72.9013495468583,1.29897394591887,9.75551416313101,26.244485836869,0.0320285723162215,0.128294997164176,0.160323569480397,3,3,2,0,1,1,0.0748663101604278,3
"Alabama","Machines & Mechanical Engineering",1988,"AL09",2,NA,NA,NA,NA,"AL",9,142,31107,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,NA,1
"Alabama","Machines & Mechanical Engineering",1991,"AL09",1,NA,NA,NA,NA,"AL",9,200,27864,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,2,NA,2
"Alabama","Machines & Mechanical Engineering",1994,"AL09",3,NA,NA,NA,NA,"AL",9,217,32394,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,2,NA,NA,1
"Alabama","Machines & Mechanical Engineering",1997,"AL09",1,NA,NA,NA,NA,"AL",9,363,37923,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,1
"Alabama","Machines & Mechanical Engineering",2000,"AL09",3,NA,NA,NA,NA,"AL",9,376,38478,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,3,0,3,NA,NA,5
"Alabama","Machines & Mechanical Engineering",2003,"AL09",10,NA,NA,NA,NA,"AL",9,433,37149,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,6,7,1,8,NA,NA,6
"Alabama","Machines & Mechanical Engineering",2006,"AL09",7,NA,NA,NA,NA,"AL",9,410,31607,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,7,6,6,1,4,2,NA,7
"Alabama","Machines & Mechanical Engineering",2009,"AL09",4,NA,NA,NA,NA,"AL",9,386,28963,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,3,1,NA,1
"Alabama","Machines & Mechanical Engineering",2012,"AL09",13,NA,NA,NA,NA,"AL",9,366,32169,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,12,8,7,1,8,2,NA,5
"Alabama","Machines & Mechanical Engineering",2015,"AL09",17,NA,NA,NA,NA,"AL",9,330,37646,0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,11,13,2,10,NA,NA,10
"Alabama","Medical Technology",1991,"AL06",1,NA,NA,NA,NA,"AL",6,200,9837,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,1
"Alabama","Medical Technology",1994,"AL06",1,NA,NA,NA,NA,"AL",6,217,15516,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,1
"Alabama","Medical Technology",2000,"AL06",1,NA,NA,NA,NA,"AL",6,376,23136,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,3,NA,0
"Alabama","Medical Technology",2003,"AL06",1,NA,NA,NA,NA,"AL",6,433,24826,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,1
"Alabama","Medical Technology",2006,"AL06",1,NA,NA,NA,NA,"AL",6,410,25160,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,0
"Alabama","Medical Technology",2009,"AL06",1,NA,NA,NA,NA,"AL",6,386,25123,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,2,NA,0
"Alabama","Medical Technology",2012,"AL06",3,NA,NA,NA,NA,"AL",6,366,28937,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,3,2,0,2,2,NA,2
"Alabama","Medical Technology",2015,"AL06",3,NA,NA,NA,NA,"AL",6,330,33636,0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,3,NA,NA,1
"Alabama","Pharmaceuticals & Biotechnology",1980,"AL07",3,NA,NA,NA,NA,"AL",7,132,21748,0.000545196816050594,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,3,NA,NA,1
"Alabama","Pharmaceuticals & Biotechnology",1988,"AL07",8,6.81988724058684,16.8188687056924,0.0238553804018693,3.68717553223784,"AL",7,142,16874,0.000545196816050594,0.102667574078548,30,13.2921170197435,0.772394449477467,0.42182326115894,3.17348440833302,9.24248831184356,69.5336062578686,2,83.1811312943076,2.04596617217605,5.04566061170772,24.9543393882923,0.00715661412056079,1.10615265967135,1.11330927379191,8,6,6,2,5,2,0.203208556149733,6
"Alabama","Pharmaceuticals & Biotechnology",1991,"AL07",6,NA,NA,NA,NA,"AL",7,200,16767,0.000545196816050594,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,4,5,2,6,4,NA,6
"Alabama","Pharmaceuticals & Biotechnology",1994,"AL07",4,NA,NA,NA,NA,"AL",7,217,23858,0.000545196816050594,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,4,2,NA,3
"Alabama","Pharmaceuticals & Biotechnology",1997,"AL07",15,24.7222413732886,60.3315881099411,5.77266120771196,8.5395518927362,"AL",7,363,35569,0.000545196816050594,0.15340579279873,50,13.7135994619782,1.11863988170325,0.579847555893312,4.22826667426722,7.41716711484688,54.0862166451006,5,39.6684118900589,12.3611206866443,30.1657940549705,19.8342059450295,2.88633060385598,4.2697759463681,7.15610655022408,9,14,11,2,10,12,0.227272727272727,11
"Alabama","Pharmaceuticals & Biotechnology",2000,"AL07",20,21.7694843816555,48.3733163758383,9.34937908988563,2.92729441117725,"AL",7,376,36955,0.000545196816050594,0.318398793773256,53,23.4539559014267,1.35754836033391,1.05726089467209,4.50781479728023,12.0587958996593,51.4147632507732,6,51.6266836241617,11.5378267222774,25.6378576791943,27.3621423208057,4.95517091763939,1.55146603792394,6.50663695556333,19,12,11,5,14,12,0.390374331550802,9
"Alabama","Pharmaceuticals & Biotechnology",2003,"AL07",28,22.8066231590978,59.033928939692,4.73873059604817,6.95183881298086,"AL",7,433,33501,0.000545196816050594,0.418282001994975,78,28.1288129893837,1.48702329583848,1.44123237842414,5.12368715653977,13.9168529437394,49.4754362688247,7,40.966071060308,17.7891660640963,46.0464645729597,31.9535354270403,3.69620986491757,5.42243427412507,9.11864413904264,19,25,24,7,13,18,0.532085561497326,18
"Alabama","Pharmaceuticals & Biotechnology",2006,"AL07",13,29.283031637779,60.4079524589416,9.62052023611699,13.4166024649187,"AL",7,410,29244,0.000545196816050594,0.46690465247818,51,28.5657155209684,1.63449311163045,1.54587746377934,5.41165321990482,13.8898499984507,48.6241977319102,8,39.5920475410584,14.9343461352673,30.8080557540602,20.1919442459398,4.90646532041966,6.84246725710852,11.7489325775282,11,7,10,2,9,16,0.612299465240642,8
"Alabama","Pharmaceuticals & Biotechnology",2009,"AL07",10,26.2928860627513,53.5434822656713,0.244602064870479,17.8691329504584,"AL",7,386,27864,0.000545196816050594,0.343109769874548,55,19.9201854253735,1.72242257061277,1.09510720818794,5.49747497226127,9.3878775089685,47.1274604553159,9,46.4565177343287,14.4610873345132,29.4489152461192,25.5510847538808,0.134531135678763,9.82802312275214,9.96255425843091,10,10,7,1,7,13,0.406417112299465,3
"Alabama","Pharmaceuticals & Biotechnology",2012,"AL07",7,31.4981909508704,75.7938546180991,10.7498049747141,13.2380632026976,"AL",7,366,28241,0.000545196816050594,0.369484214794377,37,20.272277465533,1.82260831533396,1.15526077873064,5.69872221162532,9.22409144929023,45.5010122319659,10,24.2061453819009,11.654330651822,28.0437262086967,8.95627379130332,3.97742784064422,4.8980833849981,8.87551122564233,7,6,2,1,2,12,0.406417112299465,3
"Alabama","Pharmaceuticals & Biotechnology",2015,"AL07",7,33.7210753582036,65.485321096621,3.8123964370087,12.1071085079024,"AL",7,330,32054,0.000545196816050594,0.494598682864674,37,27.2704280155642,1.81368140823601,1.61893259199429,5.93658666109058,12.5472718517194,46.0105424255103,11,34.514678903379,12.4767978825353,24.2295688057498,12.7704311942502,1.41058668169322,4.4796301479239,5.89021682961712,7,7,3,4,2,12,0.580213903743315,4
"Alabama","Transport",1991,"AL012",1,NA,NA,NA,NA,"AL",12,200,6685,4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,0
"Alabama","Transport",1997,"AL012",3,NA,NA,NA,NA,"AL",12,363,10649,4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,NA,NA,1
"Alabama","Transport",2000,"AL012",3,NA,NA,NA,NA,"AL",12,376,11471,4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,3,1,0,1,NA,NA,1
"Alabama","Transport",2003,"AL012",1,NA,NA,NA,NA,"AL",12,433,11983,4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,NA,NA,0
