"regio_tech","TechGroup","regio_inv","TimePeriod","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia"
"AK013","Semiconducturs","Alaska","1997",0,17.0777145755663,58.0176715586,9.22813911011511,7.03461586058519,"AK","013",NA,0.00119632823706998,42,0.0736417351203343,1.62452478219738,0.0024581788251152,3.33802404451554,0.0241023641126096,32.7292181169077,5,41.9823284414,7.17264012173786,24.367422054612,17.632577945388,3.87581842624834,2.95453866144578,6.83035708769413
"AK013","Semiconducturs","Alaska","2012",48,35.3313247470553,64.4103521395523,8.01244170139427,18.5363467530812,"AK","013",NA,0.00216642926860304,69,0.0798385934572705,2.71351131675749,0.00362353446820798,4.53857503156953,0.0201322407364691,25.2161766191984,10,35.5896478604477,24.3786140754682,44.4431429762911,24.5568570237089,5.52858477396205,12.7900792596261,18.3186640335881
"AK013","Semiconducturs","Alaska","2003",3,22.6013064892771,44.2987287636468,3.59677618841319,12.1095369913419,"AK","013",NA,0.00231197422713428,75,0.108949416342412,2.12206205847682,0.00386930605079365,3.55147019662131,0.0322464253764345,29.5976118633702,7,55.7012712363532,16.9509798669578,33.2240465727351,41.7759534272649,2.69758214130989,9.08215274350641,11.7797348848163
"AK013","Semiconducturs","Alaska","2000",0,19.6422470271463,49.7529701752911,8.13492929437025,8.48269587675873,"AK","013",NA,0.00229683343198335,60,0.109189604650046,2.10352756505048,0.00449648558179481,4.11805280933667,0.0305575031153704,27.9857255764481,6,50.2470298247089,11.7853482162878,29.8517821051746,30.1482178948254,4.88095757662215,5.08961752605524,9.97057510267738
"AK02","Information & Communication Technology","Alaska","2006",7,5.11716386868282,32.0498663984436,0.960713284657838,0.493906170687296,"AK","02",NA,0.0179173318546987,75,0.819858769275112,2.18541687009588,0.0286354609826233,3.49273095022715,0.2866616372293,34.964758318406,8,67.9501336015564,3.83787290151211,24.0373997988327,50.9626002011673,0.720534963493378,0.370429628015472,1.09096459150885
"AK02","Information & Communication Technology","Alaska","2000",0,4.08799458036969,31.6505479652472,0.494788890900434,0.786185612372773,"AK","02",NA,0.0116606135152635,101,0.89273190181102,1.30617193040917,0.0213573049459982,2.39235372934161,0.343254130572087,38.4498559842829,6,68.3494520347528,4.12887452617339,31.9670534448996,69.0329465551004,0.499736779809439,0.794047468496501,1.29378424830594
"AK02","Information & Communication Technology","Alaska","2015",21,8.40671691698843,31.2005013231596,1.34816625614244,2.61900903956865,"AK","02",NA,0.030442074644768,89,1.09261661142336,2.78616253189772,0.0451512202380858,4.13239372036154,0.368992176999748,33.7714229439602,11,68.7994986768404,7.4819780561197,27.7684461776121,61.2315538223879,1.19986796796677,2.33091804521609,3.53078601318286
"AK02","Information & Communication Technology","Alaska","2009",15,14.4320815524686,40.9289487107173,4.557175791109,3.13859466037877,"AK","02",NA,0.0161340261765501,66,0.71489647883941,2.25683391289641,0.0250308600794174,3.50132653052838,0.251107250607778,35.124980754617,9,59.0710512892827,9.52517382462929,27.0131061490735,38.9868938509265,3.00773602213194,2.07147247584999,5.07920849798192
"AK02","Information & Communication Technology","Alaska","2012",19,4.16751542434984,35.5086213951692,0.0700182912335925,1.99600367238628,"AK","02",NA,0.0213985017645057,65,0.819714656290532,2.61048178171422,0.0323626847960775,3.94804271800249,0.27672943945635,33.7592401615263,10,64.4913786048308,2.7088850258274,23.08060390686,41.91939609314,0.0455118893018351,1.29740238705108,1.34291427635291
"AK02","Information & Communication Technology","Alaska","1994",0,5.78689379372658,43.2101680169694,2.05709157311563,2.694738751361,"AK","02",NA,0.0029329129035722,40,0.434020271893164,0.675754819188294,0.00598448391159468,1.37884893843571,0.176861232820551,40.7495327462691,4,56.7898319830306,2.31475751749063,17.2840672067878,22.7159327932122,0.822836629246254,1.0778955005444,1.90073212979065
