"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Audiovisual Technologies","California","1980",8.82100185428593,22,"CA","03","CA03",8904,11.1964954682702,498,242.257169620983,4.6217395694779,20.5476407515785,8.48174722082561,139.150301171808,57.4390848326645,43.9285892343439
"Audiovisual Technologies","California","2000",26.1972438288114,359,"CA","03","CA03",26163,236.458456045246,1702,2789.16990920882,8.47773580464019,407.915836052319,14.6249905645952,1480.8584839967,53.0931614853381,445.877089966369
"Audiovisual Technologies","Florida","2005",5.01383696514799,11,"FL","03","FL03",23322,23.068702256763,137,391.745280299755,5.88869947306354,38.2219406710171,9.75683501324393,217.076564793017,55.4126815840422,6.86895664225274
"Audiovisual Technologies","North Dakota","1985",NA,1,"ND","03","ND03",8337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Audiovisual Technologies","West Virginia","2010",4.76285655662149,0,"WV","03","WV03",30080,14.4014500221552,60,110.320363164721,13.0542083156961,16.5300822180879,14.9837090305863,65.7996621411904,59.6441674534227,2.8577139339729
"Audiovisual Technologies","Colorado","2010",6.00587227409909,7,"CO","03","CO03",30080,18.1671007957301,78,414.430993899217,4.38362503364022,31.083313571408,7.50023864744222,254.436245739944,61.3941161461054,4.68458037379729
"Audiovisual Technologies","Maryland","2000",15.086038971447,4,"MD","03","MD03",26163,18.364921184975,107,288.75486381323,6.36003873405009,28.3503941544302,9.8181529412324,166.690244808991,57.7272509310211,16.1420616994483
"Audiovisual Technologies","Missouri","2000",7.72344106110705,0,"MO","03","MO03",26163,15.4604305270967,246,236.640726329442,6.53329237401564,25.5577442431305,10.8002306448088,135.52472221967,57.2702443581067,18.9996650103233
"Audiovisual Technologies","West Virginia","1995",5.03223738446677,0,"WV","03","WV03",23894,7.17112393466287,113,97.8547341115435,7.32833623204024,8.63659228309607,8.82593199144695,60.9487398952485,62.2849169727177,5.68642824444745
"Audiovisual Technologies","Massachusetts","2005",18.7899557307534,91,"MA","03","MA03",23322,61.4393681968929,690,783.49056059951,7.84174963765752,110.311699480331,14.0795186346498,395.1722634215,50.4373994141197,129.650694542199
"Audiovisual Technologies","Vermont","1995",9.19656317974891,2,"VT","03","VT03",23894,5.66262514357178,502,105.620982850555,5.36126912545771,8.49462483802883,8.04255424326816,68.045850500156,64.4245571890156,46.1667471623395
"Audiovisual Technologies","West Virginia","2005",8.67293616652259,2,"WV","03","WV03",23322,10.0102337591142,61,85.9928664072633,11.6407722841865,11.5993240464886,13.4887049718218,51.620855805624,60.0292302865531,5.29049106157878
"Audiovisual Technologies","Georgia","2010",7.86242813548727,6,"GA","03","GA03",30080,6.20310139963741,343,187.953211317673,3.30034339724747,15.1508983254572,8.06099465885135,124.730713948179,66.3626405070372,26.9681285047213
"Audiovisual Technologies","Missouri","1995",5.92748429293037,0,"MO","03","MO03",23894,12.7822949792596,241,230.398712590671,5.54790208483881,21.6586238132783,9.40049689069107,132.96641074113,57.7114382480773,14.2852371459622
"Audiovisual Technologies","Vermont","2010",15.6536028714819,20,"VT","03","VT03",30080,11.4581794765417,638,119.075947542874,9.62258097708284,15.9762143020867,13.4168273541006,73.4616331808571,61.6930914233599,99.8699863200546
"Audiovisual Technologies","Illinois","1995",9.60683473246549,17,"IL","03","IL03",23894,45.9173317037876,2088,1118.33981841764,4.10584787804094,89.4391271204038,7.99749107091196,616.840773944672,55.1568283437723,200.590709213879
"Audiovisual Technologies","California","2005",31.7551300825734,478,"CA","03","CA03",23322,274.405655768086,1672,2386.41578997934,11.4986523689764,443.510675593732,18.5848030949196,1230.54484925985,51.5645619856757,530.945774980628
"Audiovisual Technologies","Alabama","1990",2.39743040019526,2,"AL","03","AL03",13127,0.192890668638377,52,46.0623769034923,0.41875969414803,0.929427815859592,2.01775913085615,32.2028968373211,69.9114961105699,1.24666380810154
"Audiovisual Technologies","Massachusetts","1995",13.8607124670783,46,"MA","03","MA03",23894,43.792431770383,1100,891.565355238507,4.91185884613785,86.4256003776982,9.69369209670311,466.579856556148,52.3326589368573,152.467837137862
