"","organization","organization_cleaned","eq_firm","name_diff","match"
"147","cadila healthcare","cadila","cadila",0,1
"148","cipla","cipla","cipla",0,1
"149","indian oil","indian oil","indian oil",0,1
"150","infosys","infosys","infosys",0,1
"151","konkan railway","konkan railway","konkan railway",0,1
"152","ramco systems","ramco","ramco",0,1
"153","sun pharmaceutical","sun pharmaceutical","sun pharmaceutical",0,1
"154","tata consultancy services","tata consultancy","tata consultancy",0,1
"155","wipro","wipro","wipro",0,1
"156","landi renzo spa","landi renzo","landi renzo",0,1
"157","magneti marelli","magneti marelli","magneti marelli",0,1
"158","zambon spa","zambon","zambon",0,1
"159","asml","asml","asml",0,1
"160","thin film electronics asa","thin film electronics asa","thin film electronics asa",0,1
"161","biotecnol","biotecnol","biotecnol",0,1
"162","adcock ingram","adcock ingram","adcock ingram",0,1
"163","sasol chemical","sasol","sasol",0,1
"164","repsol","repsol","repsol",0,1
"165","tecnicas reunidas","tecnicas reunidas","tecnicas reunidas",0,1
"166","telefonica","telefonica","telefonica",0,1
"167","enea software ab","enea ab","enea ab",0,1
"168","höganäs ab","hoganas ab","hoganas ab",0,1
"169","luxor ab","luxor ab","luxor ab",0,1
"170","meda ab","meda ab","meda ab",0,1
"171","mysql ab","mysql ab","mysql ab",0,1
"172","trio ab","trio ab","trio ab",0,1
"173","volvo trucks","volvo trucks","volvo trucks",0,1
"174","actelion pharmaceuticals","actelion","actelion",0,1
"175","alcon","alcon","alcon",0,1
"176","allseas","allseas","allseas",0,1
"177","also holding","also","also",0,1
"178","basilea pharmaceutica","basilea pharmaceutica","basilea pharmaceutica",0,1
"179","blancpain","blancpain","blancpain",0,1
"180","bls","bls","bls",0,1
"181","ciba specialty chemicals holding","ciba specialty chemicals","ciba specialty chemicals",0,1
"182","clariant","clariant","clariant",0,1
"183","firmenich","firmenich","firmenich",0,1
"184","geberit","geberit","geberit",0,1
"185","georg fischer","georg fischer","georg fischer",0,1
"186","givaudan","givaudan","givaudan",0,1
"187","hamilton medical","hamilton","hamilton",0,1
"188","leica geosystems","leica geosystems","leica geosystems",0,1
"189","lonza","lonza","lonza",0,1
"190","manor","manor","manor",0,1
"191","mettler toledo","mettler toledo","mettler toledo",0,1
"192","mido","mido","mido",0,1
"193","novartis","novartis","novartis",0,1
"194","rieter","rieter","rieter",0,1
"195","sig","sig","sig",0,1
"196","sigg","sigg","sigg",0,1
"197","sika","sika","sika",0,1
