"","organization","organization_cleaned","eq_firm","name_diff","match"
"602","frequentis","frequentis","frequentis",0,1
"603","ge jenbacher","ge jenbacher","ge jenbacher",0,1
"604","kapsch","kapsch","kapsch",0,1
"605","ktm","ktm","ktm",0,1
"606","omv","omv","omv",0,1
"607","onepharm","onepharm","onepharm",0,1
"608","plansee","plansee","plansee",0,1
"609","red bull","red bull","red bull",0,1
"610","rhi","rhi","rhi",0,1
"611","rosenbauer","rosenbauer","rosenbauer",0,1
"612","steyr motors","steyr motors","steyr motors",0,1
"613","strabag","strabag","strabag",0,1
"614","swarovski","swarovski","swarovski",0,1
"615","telekom austria","telekom austria","telekom austria",0,1
"616","wienerberger","wienerberger","wienerberger",0,1
"617","aveve","aveve","aveve",0,1
"618","barco","barco","barco",0,1
"619","base","base","base",0,1
"620","bekaert","bekaert","bekaert",0,1
"621","cockerill sambre","cockerill sambre","cockerill sambre",0,1
"622","carmeuse","carmeuse","carmeuse",0,1
"623","eurogentec","eurogentec","eurogentec",0,1
"624","evs broadcast equipment","evs broadcast equipment","evs broadcast equipment",0,1
"625","imec","imec","imec",0,1
"626","imperia automobiles","imperia automobiles","imperia automobiles",0,1
"627","innogenetics","innogenetics","innogenetics",0,1
"628","katoen natie","katoen natie","katoen natie",0,1
"629","option nv","option nv","option nv",0,1
"630","soudal","soudal","soudal",0,1
"631","van genechten packaging","van genechten packaging","van genechten packaging",0,1
"632","zetes","zetes","zetes",0,1
"633","ambev","ambev","ambev",0,1
"634","aracruz celulose","aracruz celulose","aracruz celulose",0,1
"635","banco bradesco","banco bradesco","banco bradesco",0,1
"636","duratex","duratex","duratex",0,1
"637","embraer","embraer","embraer",0,1
"638","embrapa","embrapa","embrapa",0,1
"639","hypermarcas","hypermarcas","hypermarcas",0,1
"640","itautec","itautec","itautec",0,1
"641","jbs","jbs","jbs",0,1
"642","marcopolo","marcopolo","marcopolo",0,1
"643","petrobras","petrobras","petrobras",0,1
"644","suzano papel e celulose","suzano papel e celulose","suzano papel e celulose",0,1
"645","vale","vale","vale",0,1
"646","angoss software","angoss","angoss",0,1
"647","apotex","apotex","apotex",0,1
"648","areva resources canada","areva resources canada","areva resources canada",0,1
"649","barrick gold","barrick gold","barrick gold",0,1
"650","bell canada","bell canada","bell canada",0,1
"651","blue giant equipment","blue giant equipment","blue giant equipment",0,1
"652","boeing canada","boeing canada","boeing canada",0,1
"653","canadian light source","canadian light source","canadian light source",0,1
"654","canadian natural resources","canadian natural resources","canadian natural resources",0,1
"655","canadian oil sands","canadian oil sands","canadian oil sands",0,1
"656","canadian tire","canadian tire","canadian tire",0,1
"657","cargill","cargill","cargill",0,1
"658","catalyst paper","catalyst paper","catalyst paper",0,1
"659","celestica","celestica","celestica",0,1
"660","cenovus energy","cenovus energy","cenovus energy",0,1
"661","colt canada","colt canada","colt canada",0,1
"662","dofasco","dofasco","dofasco",0,1
"663","dominion voting systems","dominion voting","dominion voting",0,1
"664","dynamotive energy systems","dynamotive energy","dynamotive energy",0,1
"665","elastic path software","elastic path","elastic path",0,1
"666","electrohome","electrohome","electrohome",0,1
"667","enbridge","enbridge","enbridge",0,1
"668","encana","encana","encana",0,1
"669","esprida","esprida","esprida",0,1
"670","falconbridge","falconbridge","falconbridge",0,1
"671","finning","finning","finning",0,1
"672","geosoft","geosoft","geosoft",0,1
"673","goldcorp","goldcorp","goldcorp",0,1
"674","guestlogix","guestlogix","guestlogix",0,1
"675","halogen software","halogen","halogen",0,1
"676","imperial oil","imperial oil","imperial oil",0,1
"677","intertape polymer","intertape polymer","intertape polymer",0,1
"678","irving oil","irving oil","irving oil",0,1
"679","keycafe","keycafe","keycafe",0,1
"680","kinaxis","kinaxis","kinaxis",0,1
"681","linamar","linamar","linamar",0,1
"682","london drugs","london drugs","london drugs",0,1
"683","lystek","lystek","lystek",0,1
"684","manitoba hydro","manitoba hydro","manitoba hydro",0,1
"685","maple leaf foods","maple leaf foods","maple leaf foods",0,1
"686","mccain foods","mccain foods","mccain foods",0,1
"687","nexen","nexen","nexen",0,1
"688","nordion","nordion","nordion",0,1
"689","nova chemicals","nova chemicals","nova chemicals",0,1
"690","ontario lottery and gaming","ontario lottery and gaming","ontario lottery and gaming",0,1
"691","packers plus energy services","packers plus energy","packers plus energy",0,1
"692","painceptor pharma","painceptor","painceptor",0,1
"693","palliser furniture","palliser furniture","palliser furniture",0,1
"694","paramount resources","paramount resources","paramount resources",0,1
"695","parmalat canada","parmalat canada","parmalat canada",0,1
"696","pollard banknote","pollard banknote","pollard banknote",0,1
"697","prevost car","prevost car","prevost car",0,1
"698","protecode","protecode","protecode",0,1
"699","purolator courier","purolator courier","purolator courier",0,1
"700","quester tangent","quester tangent","quester tangent",0,1
"701","rogers communications","rogers communications","rogers communications",0,1
"702","royal bank of canada","royal bank of canada","royal bank of canada",0,1
"703","sandvine","sandvine","sandvine",0,1
"704","saskatchewan minerals","saskatchewan minerals","saskatchewan minerals",0,1
"705","sasktel","sasktel","sasktel",0,1
"706","sepro mineral systems","sepro mineral","sepro mineral",0,1
"707","shell canada","shell canada","shell canada",0,1
"708","sierra wireless","sierra wireless","sierra wireless",0,1
"709","sifto canada","sifto canada","sifto canada",0,1
"710","stelco","stelco","stelco",0,1
"711","suncor energy","suncor energy","suncor energy",0,1
"712","teck resources","teck resources","teck resources",0,1
"713","teledyne dalsa","teledyne dalsa","teledyne dalsa",0,1
"714","telus","telus","telus",0,1
"715","tembec","tembec","tembec",0,1
"716","tm4","tm4","tm4",0,1
"717","tolko","tolko","tolko",0,1
"718","west fraser timber","west fraser timber","west fraser timber",0,1
"719","celulosa arauco y constitucion","celulosa arauco y constitucion","celulosa arauco y constitucion",0,1
"720","baidu","baidu","baidu",0,1
"721","bank of communications","bank of communications","bank of communications",0,1
"722","bosideng","bosideng","bosideng",0,1
"723","chery automobile","chery automobile","chery automobile",0,1
"724","citic","citic","citic",0,1
"725","dongfeng motor","dongfeng motor","dongfeng motor",0,1
"726","feicheng acid chemicals","feicheng acid chemicals","feicheng acid chemicals",0,1
"727","haier","haier","haier",0,1
"728","hefei meiling","hefei meiling","hefei meiling",0,1
"729","hisense","hisense","hisense",0,1
"730","hisilicon","hisilicon","hisilicon",0,1
"731","hytera communication","hytera","hytera",0,1
"732","joyoung","joyoung","joyoung",0,1
"733","meizu","meizu","meizu",0,1
"734","midea","midea","midea",0,1
"735","saic motor","saic motor","saic motor",0,1
"736","suntech power","suntech power","suntech power",0,1
"737","tencent","tencent","tencent",0,1
"738","zte","zte","zte",0,1
"739","ecopetrol","ecopetrol","ecopetrol",0,1
"740","chr hansen","chr hansen","chr hansen",0,1
"741","coloplast","coloplast","coloplast",0,1
"742","danfoss","danfoss","danfoss",0,1
"743","haldor topsoe","haldor topsoe","haldor topsoe",0,1
"744","leo pharmaceuticals","leo","leo",0,1
"745","novozymes","novozymes","novozymes",0,1
"746","ahlstrom","ahlstrom","ahlstrom",0,1
"747","altia","altia","altia",0,1
"748","basware","basware","basware",0,1
"749","codenomicon","codenomicon","codenomicon",0,1
"750","fiskars","fiskars","fiskars",0,1
"751","fortum","fortum","fortum",0,1
"752","kone","kone","kone",0,1
"753","konecranes","konecranes","konecranes",0,1
"754","metso","metso","metso",0,1
"755","neste","neste","neste",0,1
"756","nokia networks","nokia networks","nokia networks",0,1
"757","nokian tyres","nokian tyres","nokian tyres",0,1
"758","raisio","raisio","raisio",0,1
"759","rovio entertainment","rovio entertainment","rovio entertainment",0,1
"760","ssh communications security","ssh communications security","ssh communications security",0,1
"761","stonesoft","stonesoft","stonesoft",0,1
"762","suominen","suominen","suominen",0,1
"763","valio","valio","valio",0,1
"764","valmet automotive","valmet automotive","valmet automotive",0,1
"765","valtra","valtra","valtra",0,1
"766","altran","altran","altran",0,1
"767","arianespace","arianespace","arianespace",0,1
"768","baccarat","baccarat","baccarat",0,1
"769","bollore","bollore","bollore",0,1
"770","bouygues telecom","bouygues telecom","bouygues telecom",0,1
"771","bouygues","bouygues","bouygues",0,1
"772","buzzinbees","buzzinbees","buzzinbees",0,1
"773","carrefour","carrefour","carrefour",0,1
"774","chanel","chanel","chanel",0,1
"775","chantelle","chantelle","chantelle",0,1
"776","credit lyonnais","credit lyonnais","credit lyonnais",0,1
"777","criteo","criteo","criteo",0,1
"778","danone","danone","danone",0,1
"779","dassault aviation","dassault aviation","dassault aviation",0,1
"780","dassault systems","dassault","dassault",0,1
"781","diptyque","diptyque","diptyque",0,1
"782","electricité de france edf","electricite de france edf","electricite de france edf",0,1
"783","elf aquitaine","elf aquitaine","elf aquitaine",0,1
"784","essilor","essilor","essilor",0,1
"785","eutelsat","eutelsat","eutelsat",0,1
"786","fnac","fnac","fnac",0,1
"787","free","free","free",0,1
"788","hermes","hermes","hermes",0,1
"789","la poste","la poste","la poste",0,1
"790","lacoste","lacoste","lacoste",0,1
"791","lafarge","lafarge","lafarge",0,1
"792","louis vuitton","louis vuitton","louis vuitton",0,1
"793","michelin","michelin","michelin",0,1
"794","nicox","nicox","nicox",0,1
"795","orange","orange","orange",0,1
"796","oxbow","oxbow","oxbow",0,1
"797","pernod ricard","pernod ricard","pernod ricard",0,1
"798","renault","renault","renault",0,1
"799","sanofi","sanofi","sanofi",0,1
"800","sephora","sephora","sephora",0,1
"801","sigfox","sigfox","sigfox",0,1
"802","suez","suez","suez",0,1
"803","vinci","vinci","vinci",0,1
"804","yoplait","yoplait","yoplait",0,1
"805","aral","aral","aral",0,1
"806","arburg","arburg","arburg",0,1
"807","aurubis","aurubis","aurubis",0,1
"808","axel springer","axel springer","axel springer",0,1
"809","bahlsen kg","bahlsen","bahlsen",0,1
"810","baywa","baywa","baywa",0,1
"811","bbs kraftfahrzeugtechnik","bbs kraftfahrzeugtechnik","bbs kraftfahrzeugtechnik",0,1
"812","behringer","behringer","behringer",0,1
"813","bellevue investments","bellevue investments","bellevue investments",0,1
"814","bertelsmann","bertelsmann","bertelsmann",0,1
"815","beyerdynamic","beyerdynamic","beyerdynamic",0,1
"816","bilfinger","bilfinger","bilfinger",0,1
"817","birkenstock sales","birkenstock","birkenstock",0,1
"818","blaupunkt","blaupunkt","blaupunkt",0,1
"819","bomag","bomag","bomag",0,1
"820","brabus","brabus","brabus",0,1
"821","brenntag holding","brenntag","brenntag",0,1
"822","carl walther","carl walther","carl walther",0,1
"823","commerzbank","commerzbank","commerzbank",0,1
"824","covestro","covestro","covestro",0,1
"825","deutsche bahn","deutsche bahn","deutsche bahn",0,1
"826","deutsche bank","deutsche bank","deutsche bank",0,1
"827","deutsche post","deutsche post","deutsche post",0,1
"828","deutz","deutz","deutz",0,1
"829","diehl aerospace","diehl aerospace","diehl aerospace",0,1
"830","edding","edding","edding",0,1
"831","enocean","enocean","enocean",0,1
"832","ferrostaal","ferrostaal","ferrostaal",0,1
"833","fischertechnik","fischertechnik","fischertechnik",0,1
"834","fissler","fissler","fissler",0,1
"835","fraport","fraport","fraport",0,1
"836","frosta","frosta","frosta",0,1
"837","fuchs petrolub","fuchs petrolub","fuchs petrolub",0,1
"838","gebrüder thonet","gebruder thonet","gebruder thonet",0,1
"839","gpc biotech","gpc biotech","gpc biotech",0,1
"840","grundig","grundig","grundig",0,1
"841","heidelbergcement","heidelbergcement","heidelbergcement",0,1
"842","hochtief","hochtief","hochtief",0,1
"843","jenoptik","jenoptik","jenoptik",0,1
"844","karcher","karcher","karcher",0,1
"845","leica camera","leica camera","leica camera",0,1
"846","leoni","leoni","leoni",0,1
"847","lindauer dornier","lindauer dornier","lindauer dornier",0,1
"848","loewe","loewe","loewe",0,1
"849","lufthansa systems","lufthansa","lufthansa",0,1
"850","meyer werft","meyer werft","meyer werft",0,1
"851","nero","nero","nero",0,1
"852","nordzucker","nordzucker","nordzucker",0,1
"853","osram","osram","osram",0,1
"854","otto bock healthcare","otto bock","otto bock",0,1
"855","phoenix contact","phoenix contact","phoenix contact",0,1
"856","ptv","ptv","ptv",0,1
"857","putzmeister","putzmeister","putzmeister",0,1
"858","rehau","rehau","rehau",0,1
"859","rimowa","rimowa","rimowa",0,1
"860","salzgitter","salzgitter","salzgitter",0,1
"861","sap se","sap se","sap se",0,1
"862","schmitz cargobull","schmitz cargobull","schmitz cargobull",0,1
"863","sew eurodrive","sew eurodrive","sew eurodrive",0,1
"864","sgl carbon","sgl carbon","sgl carbon",0,1
"865","sig sauer","sig sauer","sig sauer",0,1
"866","skysails","skysails","skysails",0,1
"867","smart","smart","smart",0,1
"868","solarworld","solarworld","solarworld",0,1
"869","sortimo","sortimo","sortimo",0,1
"870","symrise","symrise","symrise",0,1
"871","tchibo","tchibo","tchibo",0,1
"872","telefunken","telefunken","telefunken",0,1
"873","tetra","tetra","tetra",0,1
"874","the linde","the linde","the linde",0,1
"875","trumpf","trumpf","trumpf",0,1
"876","ultrasone","ultrasone","ultrasone",0,1
"877","vector informatik","vector informatik","vector informatik",0,1
"878","viessmann","viessmann","viessmann",0,1
"879","voith","voith","voith",0,1
"880","wago kontakttechnik","wago kontakttechnik","wago kontakttechnik",0,1
"881","wera werk hermann werner","wera werk hermann werner","wera werk hermann werner",0,1
"882","wittenstein","wittenstein","wittenstein",0,1
"883","intralot","intralot","intralot",0,1
"884","lavipharm","lavipharm","lavipharm",0,1
"885","vianex","vianex","vianex",0,1
"886","graphisoft","graphisoft","graphisoft",0,1
"887","magyar telekom","magyar telekom","magyar telekom",0,1
"888","tungsram","tungsram","tungsram",0,1
"889","arvind","arvind","arvind",0,1
"890","asian paints","asian paints","asian paints",0,1
"891","bajaj auto","bajaj auto","bajaj auto",0,1
"892","bharat forge","bharat forge","bharat forge",0,1
"893","bharat heavy electricals","bharat heavy electricals","bharat heavy electricals",0,1
"894","bharat petroleum","bharat petroleum","bharat petroleum",0,1
"895","biocon","biocon","biocon",0,1
"896","crompton greaves","crompton greaves","crompton greaves",0,1
"897","dabur pharma","dabur","dabur",0,1
"898","emcure pharmaceuticals","emcure","emcure",0,1
"899","engineers india","engineers india","engineers india",0,1
"900","glenmark pharmaceuticals","glenmark","glenmark",0,1
"901","hawkins cookers","hawkins cookers","hawkins cookers",0,1
"902","hindustan petroleum","hindustan petroleum","hindustan petroleum",0,1
"903","hindustan zinc","hindustan zinc","hindustan zinc",0,1
"904","itc","itc","itc",0,1
"905","jain irrigation systems","jain irrigation","jain irrigation",0,1
"906","jsw steel","jsw steel","jsw steel",0,1
"907","lakshmi machine works","lakshmi machine works","lakshmi machine works",0,1
"908","mindtree","mindtree","mindtree",0,1
"909","mphasis","mphasis","mphasis",0,1
"910","niit","niit","niit",0,1
"911","oil india","oil india","oil india",0,1
"912","persistent systems","persistent","persistent",0,1
"913","piramal enterprises","piramal enterprises","piramal enterprises",0,1
"914","praj","praj","praj",0,1
"915","ranbaxy laboratories","ranbaxy","ranbaxy",0,1
"916","reliance","reliance","reliance",0,1
"917","steel authority of india","steel authority of india","steel authority of india",0,1
"918","sun pharmaceuticals","sun","sun",0,1
"919","synthite","synthite","synthite",0,1
"920","tata chemicals","tata chemicals","tata chemicals",0,1
"921","tata global beverages","tata global beverages","tata global beverages",0,1
"922","tata motors","tata motors","tata motors",0,1
"923","tata steel","tata steel","tata steel",0,1
"924","tech mahindra","tech mahindra","tech mahindra",0,1
"925","thermax","thermax","thermax",0,1
"926","torrent pharmaceuticals","torrent","torrent",0,1
"927","ttk prestige","ttk prestige","ttk prestige",0,1
"928","welspun india","welspun india","welspun india",0,1
"929","agip spa","agip","agip",0,1
"930","alenia aermacchi spa","alenia aermacchi","alenia aermacchi",0,1
"931","alpinestars spa","alpinestars","alpinestars",0,1
"932","cassina spa","cassina","cassina",0,1
"933","comau spa","comau","comau",0,1
"934","fedrigoni spa","fedrigoni","fedrigoni",0,1
"935","ferrari spa","ferrari","ferrari",0,1
"936","fiocchi munizioni spa","fiocchi munizioni","fiocchi munizioni",0,1
"937","italcementi","italcementi","italcementi",0,1
"938","la sportiva spa","la sportiva","la sportiva",0,1
"939","lagostina spa","lagostina","lagostina",0,1
"940","laverda spa","laverda","laverda",0,1
"941","moto guzzi spa","moto guzzi","moto guzzi",0,1
"942","nardi spa","nardi","nardi",0,1
"943","nordica spa","nordica","nordica",0,1
"944","oto melara spa","oto melara","oto melara",0,1
"945","pininfarina spa","pininfarina","pininfarina",0,1
"946","selex es spa","selex es","selex es",0,1
"947","soilmec spa","soilmec","soilmec",0,1
"948","misc berhad","misc berhad","misc berhad",0,1
"949","ocp","ocp","ocp",0,1
"950","avebe","avebe","avebe",0,1
"951","dsm","dsm","dsm",0,1
"952","heerema marine contractors","heerema marine contractors","heerema marine contractors",0,1
"953","nxp semiconductors","nxp semiconductors","nxp semiconductors",0,1
"954","oce","oce","oce",0,1
"955","philips","philips","philips",0,1
"956","wavin","wavin","wavin",0,1
"957","air new zealand","air new zealand","air new zealand",0,1
"958","bank of new zealand","bank of new zealand","bank of new zealand",0,1
"959","eurekster","eurekster","eurekster",0,1
"960","fletcher challenge","fletcher challenge","fletcher challenge",0,1
"961","fletcher building","fletcher building","fletcher building",0,1
"962","macpac wilderness equipment","macpac wilderness equipment","macpac wilderness equipment",0,1
"963","pacific edge","pacific edge","pacific edge",0,1
"964","rakon","rakon","rakon",0,1
"965","norsk hydro","norsk hydro","norsk hydro",0,1
"966","statoil","statoil","statoil",0,1
"967","tine","tine","tine",0,1
"968","san miguel","san miguel","san miguel",0,1
"969","smart communications","smart communications","smart communications",0,1
"970","grupa azoty","grupa azoty","grupa azoty",0,1
"971","grupa lotos","grupa lotos","grupa lotos",0,1
"972","orange polska","orange polska","orange polska",0,1
"973","rasgas","rasgas","rasgas",0,1
"974","airtricity","airtricity","airtricity",0,1
"975","bord na mona","bord na mona","bord na mona",0,1
"976","openet","openet","openet",0,1
"977","paddy power","paddy power","paddy power",0,1
"978","vodafone ireland","vodafone ireland","vodafone ireland",0,1
"979","samba financial","samba financial","samba financial",0,1
"980","saudi aramco","saudi aramco","saudi aramco",0,1
"981","saudi oger","saudi oger","saudi oger",0,1
"982","singapore airlines","singapore airlines","singapore airlines",0,1
"983","starhub","starhub","starhub",0,1
"984","anglo american platinum","anglo american platinum","anglo american platinum",0,1
"985","eskom","eskom","eskom",0,1
"986","illovo sugar","illovo sugar","illovo sugar",0,1
"987","telkom","telkom","telkom",0,1
"988","tongaat hulett","tongaat hulett","tongaat hulett",0,1
"989","transnet","transnet","transnet",0,1
"990","acerinox","acerinox","acerinox",0,1
"991","almirall","almirall","almirall",0,1
"992","astilleros y talleres del noroeste","astilleros y talleres del noroeste","astilleros y talleres del noroeste",0,1
"993","balay","balay","balay",0,1
"994","bankinter","bankinter","bankinter",0,1
"995","compañía logística de hidrocarburos clh","compania logistica de hidrocarburos clh","compania logistica de hidrocarburos clh",0,1
"996","festina","festina","festina",0,1
"997","fomento de construcciones y contratas","fomento de construcciones y contratas","fomento de construcciones y contratas",0,1
"998","grupo antolin","grupo antolin","grupo antolin",0,1
"999","iberdrola","iberdrola","iberdrola",0,1
"1000","indra sistemas","indra sistemas","indra sistemas",0,1
"1001","majorica","majorica","majorica",0,1
"1002","natraceutical","natraceutical","natraceutical",0,1
"1003","pescanova","pescanova","pescanova",0,1
"1004","porcelanosa","porcelanosa","porcelanosa",0,1
"1005","red eléctrica de espana","red electrica de espana","red electrica de espana",0,1
"1006","seat","seat","seat",0,1
"1007","uralita","uralita","uralita",0,1
"1008","alfa laval","alfa laval","alfa laval",0,1
"1009","abb","abb","abb",0,1
"1010","astra ab","astra ab","astra ab",0,1
"1011","atlet ab","atlet ab","atlet ab",0,1
"1012","boliden ab","boliden ab","boliden ab",0,1
"1013","bona ab","bona ab","bona ab",0,1
"1014","delaval holding","delaval","delaval",0,1
"1015","electrolux","electrolux","electrolux",0,1
"1016","elekta","elekta","elekta",0,1
"1017","ericsson","ericsson","ericsson",0,1
"1018","expander system sweden ab","expander system sweden ab","expander system sweden ab",0,1
"1019","husqvarna","husqvarna","husqvarna",0,1
"1020","imint image intelligence ab","imint image intelligence ab","imint image intelligence ab",0,1
"1021","ncc ab","ncc ab","ncc ab",0,1
"1022","primus ab","primus ab","primus ab",0,1
"1023","saab automobile","saab automobile","saab automobile",0,1
"1024","saab","saab","saab",0,1
"1025","sandvik intellectual property","sandvik","sandvik",0,1
"1026","sj ab","sj ab","sj ab",0,1
"1027","skf","skf","skf",0,1
"1028","terranet ab","terranet ab","terranet ab",0,1
"1029","tetra pak","tetra pak","tetra pak",0,1
"1030","uddeholms ab","uddeholms ab","uddeholms ab",0,1
"1031","volvo","volvo","volvo",0,1
"1032","volvo penta","volvo penta","volvo penta",0,1
"1033","vsm","vsm","vsm",0,1
"1034","ascom","ascom","ascom",0,1
"1035","audemars piguet holding","audemars piguet","audemars piguet",0,1
"1036","autoform","autoform","autoform",0,1
"1037","barry callebaut","barry callebaut","barry callebaut",0,1
"1038","bolex","bolex","bolex",0,1
"1039","breitling","breitling","breitling",0,1
"1040","bron elektronik","bron elektronik","bron elektronik",0,1
"1041","burckhardt compression","burckhardt compression","burckhardt compression",0,1
"1042","century time gems","century time gems","century time gems",0,1
"1043","certina","certina","certina",0,1
"1044","chopard","chopard","chopard",0,1
"1045","crypto","crypto","crypto",0,1
"1046","dartfish","dartfish","dartfish",0,1
"1047","frédérique constant","frederique constant","frederique constant",0,1
"1048","hublot","hublot","hublot",0,1
"1049","intamin","intamin","intamin",0,1
"1050","iqair","iqair","iqair",0,1
"1051","jet aviation","jet aviation","jet aviation",0,1
"1052","kudelski","kudelski","kudelski",0,1
"1053","liebherr","liebherr","liebherr",0,1
"1054","logitech","logitech","logitech",0,1
"1055","maggi","maggi","maggi",0,1
"1056","maurice lacroix","maurice lacroix","maurice lacroix",0,1
"1057","nestle","nestle","nestle",0,1
"1058","nobel biocare services","nobel biocare","nobel biocare",0,1
"1059","omega","omega","omega",0,1
"1060","oscilloquartz","oscilloquartz","oscilloquartz",0,1
"1061","piaget","piaget","piaget",0,1
"1062","platit","platit","platit",0,1
"1063","richemont","richemont","richemont",0,1
"1064","ringier","ringier","ringier",0,1
"1065","rivella","rivella","rivella",0,1
"1066","rolex","rolex","rolex",0,1
"1067","sapal","sapal","sapal",0,1
"1068","serono","serono","serono",0,1
"1069","sersa","sersa","sersa",0,1
"1070","stadler rail","stadler rail","stadler rail",0,1
"1071","swatch","swatch","swatch",0,1
"1072","swissgear sarl","swissgear","swissgear",0,1
"1073","syngenta","syngenta","syngenta",0,1
"1074","tag heuer","tag heuer","tag heuer",0,1
"1075","te connectivity services","te connectivity","te connectivity",0,1
"1076","trisa holding","trisa","trisa",0,1
"1077","ublox","ublox","ublox",0,1
"1078","ubs","ubs","ubs",0,1
"1079","ulysse nardin","ulysse nardin","ulysse nardin",0,1
"1080","vacheron constantin","vacheron constantin","vacheron constantin",0,1
"1081","victorinox","victorinox","victorinox",0,1
"1082","wenger","wenger","wenger",0,1
"1083","zenith","zenith","zenith",0,1
"1084","zurich insurance","zurich insurance","zurich insurance",0,1
"1085","etihad airways","etihad airways","etihad airways",0,1
"1086","adallom","adallom","adallom",0,1
"1087","aladdin knowledge systems","aladdin knowledge","aladdin knowledge",0,1
"1088","allot communications","allot communications","allot communications",0,1
"1089","amdocs software systems","amdocs","amdocs",0,1
"1090","anobit","anobit","anobit",0,1
"1091","babylon","babylon","babylon",0,1
"1092","barkan mounts","barkan mounts","barkan mounts",0,1
"1093","brainsway","brainsway","brainsway",0,1
"1094","castro model","castro model","castro model",0,1
"1095","cellcom israel","cellcom israel","cellcom israel",0,1
"1096","ceragon networks","ceragon networks","ceragon networks",0,1
"1097","cimatron","cimatron","cimatron",0,1
"1098","collactive","collactive","collactive",0,1
"1099","ctera networks","ctera networks","ctera networks",0,1
"1100","dbmotion","dbmotion","dbmotion",0,1
"1101","eci telecom","eci telecom","eci telecom",0,1
"1102","frutarom","frutarom","frutarom",0,1
"1103","given imaging","given imaging","given imaging",0,1
"1104","hp scitex","hp scitex","hp scitex",0,1
"1105","insightec","insightec","insightec",0,1
"1106","ironsource","ironsource","ironsource",0,1
"1107","israel electric","israel electric","israel electric",0,1
"1108","israel shipyards","israel shipyards","israel shipyards",0,1
"1109","jacada","jacada","jacada",0,1
"1110","kampyle","kampyle","kampyle",0,1
"1111","keter plastic","keter plastic","keter plastic",0,1
"1112","kramer electronics","kramer electronics","kramer electronics",0,1
"1113","msystems","msystems","msystems",0,1
"1114","makhteshim agan","makhteshim agan","makhteshim agan",0,1
"1115","mobileye","mobileye","mobileye",0,1
"1116","motorola israel","motorola israel","motorola israel",0,1
"1117","namogoo","namogoo","namogoo",0,1
"1118","netafim","netafim","netafim",0,1
"1119","perion network","perion network","perion network",0,1
"1120","phinergy","phinergy","phinergy",0,1
"1121","rad data communications","rad data communications","rad data communications",0,1
"1122","rad","rad","rad",0,1
"1123","radcom","radcom","radcom",0,1
"1124","radware","radware","radware",0,1
"1125","radwin","radwin","radwin",0,1
"1126","secret double octopus","secret double octopus","secret double octopus",0,1
"1127","sodastream","sodastream","sodastream",0,1
"1128","solaredge","solaredge","solaredge",0,1
"1129","source vagabond systems","source vagabond","source vagabond",0,1
"1130","storedot","storedot","storedot",0,1
"1131","tadiran telecom","tadiran telecom","tadiran telecom",0,1
"1132","taro pharmaceuticals","taro","taro",0,1
"1133","tawkon","tawkon","tawkon",0,1
"1134","taykey","taykey","taykey",0,1
"1135","verint systems","verint","verint",0,1
"1136","videocells","videocells","videocells",0,1
"1137","zenith solar","zenith solar","zenith solar",0,1
"1138","birmingham systems","birmingham","birmingham",0,1
"1139","london electricity","london electricity","london electricity",0,1
"1140","abcam","abcam","abcam",0,1
"1141","norwich pharma","norwich","norwich",0,1
"1142","royal bank of scotland","royal bank of scotland","royal bank of scotland",0,1
"1143","adam equipment","adam equipment","adam equipment",0,1
"1144","amersham","amersham","amersham",0,1
"1145","anglian water authority","anglian water authority","anglian water authority",0,1
"1146","arrival","arrival","arrival",0,1
"1147","norton healthcare","norton","norton",0,1
"1148","wembley innovation","wembley","wembley",0,1
"1149","gaydon","gaydon","gaydon",0,1
"1150","leeds","leeds","leeds",0,1
"1151","astrazeneca","astrazeneca","astrazeneca",0,1
"1152","austin rover","austin rover","austin rover",0,1
"1153","marconi electronic systems","marconi electronic","marconi electronic",0,1
"1154","whitbread","whitbread","whitbread",0,1
"1155","bentley","bentley","bentley",0,1
"1156","biocompatibles","biocompatibles","biocompatibles",0,1
"1157","blink medical","blink","blink",0,1
"1158","national coal board","national coal board","national coal board",0,1
"1159","nottingham","nottingham","nottingham",0,1
"1160","british aircraft","british aircraft","british aircraft",0,1
"1161","hawker siddeley dynamics","hawker siddeley dynamics","hawker siddeley dynamics",0,1
"1162","british airways","british airways","british airways",0,1
"1163","waterside","waterside","waterside",0,1
"1164","british american tobacco","british american tobacco","british american tobacco",0,1
"1165","mg rover","mg rover","mg rover",0,1
"1166","scottish water","scottish water","scottish water",0,1
"1167","south staffordshire water","south staffordshire water","south staffordshire water",0,1
"1168","fathom systems","fathom","fathom",0,1
"1169","celltech","celltech","celltech",0,1
"1170","central electricity generating board","central electricity generating board","central electricity generating board",0,1
"1171","food service","food service","food service",0,1
"1172","convatec","convatec","convatec",0,1
"1173","severn trent water authority","severn trent water authority","severn trent water authority",0,1
"1174","united distillers","united distillers","united distillers",0,1
"1175","douglas equipment","douglas equipment","douglas equipment",0,1
"1176","textron","textron","textron",0,1
"1177","eastern electricity","eastern electricity","eastern electricity",0,1
"1178","kensington","kensington","kensington",0,1
"1179","electricity north west property","electricity north west","electricity north west",0,1
"1180","norweb","norweb","norweb",0,1
"1181","fisons","fisons","fisons",0,1
"1182","leamington spa","leamington","leamington",0,1
"1183","gamesys","gamesys","gamesys",0,1
"1184","the rank organisation","the rank organisation","the rank organisation",0,1
