"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"vereinigte flugtechnische werke";"vereinigte flugtechnische werke";"vereinigte flugtechnische werke";0;1;"auto"
"volkswagen";"volkswagen";"volkswagen";0;1;"auto"
"wacker chemie";"wacker chemie";"wacker chemie";0;1;"auto"
"wella";"wella";"wella";0;1;"auto"
"wintershall";"wintershall";"wintershall";0;1;"auto"
"zf friedrichshafen";"zf friedrichshafen";"zf friedrichshafen";0;1;"auto"
"cadila healthcare";"cadila";"cadila";0;1;"auto"
"cipla";"cipla";"cipla";0;1;"auto"
"indian oil";"indian oil";"indian oil";0;1;"auto"
"infosys";"infosys";"infosys";0;1;"auto"
"konkan railway";"konkan railway";"konkan railway";0;1;"auto"
"ramco systems";"ramco";"ramco";0;1;"auto"
"sun pharmaceutical";"sun pharmaceutical";"sun pharmaceutical";0;1;"auto"
"tata consultancy services";"tata consultancy";"tata consultancy";0;1;"auto"
"wipro";"wipro";"wipro";0;1;"auto"
